name,pin,joined,address_postcode,address_county,address_country,profession,field_of_practice_when_joined_register,have_specialist_qualification_approved_by_nmc,specialist_qualification,date_registration_to_nmc,country_of_initial_training,date_of_qualification,country_of_initial_registration,nationality,diversity_gender,diversity_ethnicity,diversity_religion
"Cross, Taveuan",48W5815E,2019-09-09 21:11:45,testpostcode2,Nonexistentland,Wales,Nurse,Adult,TRUE,SPMH: Specialist practitioner: Mental health,testdate2,Northern Ireland,testdate2,Scotland,British,Male,NA,Sikh
"el-Ally, Samir",70U6417W,2019-09-17 00:20:29,testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,FALSE,"RN3: Mental health nurse, level 1",testdate2,Scotland,testdate2,England,British,Female,NA,Buddhist
"Washington, Mario",86M2437F,2019-09-24 19:46:00,testpostcode1,Nonexistentland,Wales,Midwife,Mental health,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate1,Northern Ireland,testdate2,Scotland,Other,Female,NA,Other religion
"Jorgensen, Nicole",71B6683J,2019-05-24 20:40:36,testpostcode2,N-on-existent,Scotland,Midwife,Adult,FALSE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,England,testdate1,Scotland,British,Female,NA,Hindu
"Zhang, Varun",71S9106K,2019-01-08 22:27:24,testpostcode2,Nonexistentland,Wales,Nurse,Mental health,TRUE,RM: Midwife,testdate1,Wales,testdate1,England,Other,Female,NA,Other religion
"Baker, Justin",92K5763K,2019-11-02 15:37:21,testpostcode2,Nonexistentshire,Northern Ireland,Midwife,Mental health,FALSE,SPC: Specialist practitioner: Children's nursing,testdate1,Northern Ireland,testdate2,Wales,Other,Male,NA,Religion not stated
"Rideout, Ryvon",70W1637Y,2019-03-27 18:18:01,testpostcode1,N-on-existent,Wales,Nurse & Midwife,Adult,FALSE,V100: Community practitioner nurse prescriber,testdate2,England,testdate2,England,British,Female,NA,Other religion
"Palizzi, Clayton",48D3199P,2019-04-04 20:17:57,testpostcode2,N-on-existent,Northern Ireland,Nurse,Mental health,TRUE,FHN: Family health nurse,testdate1,Scotland,testdate2,Scotland,British,Other,NA,No religion
"Kim, Alayna",17W0117S,2019-12-06 06:10:34,testpostcode2,N-on-existent,Northern Ireland,Nurse,Adult,FALSE,RPHN: Specialist community public health nurse,testdate2,England,testdate1,Northern Ireland,Other,Other,NA,Jewish
"Diedrich, Tanay",15N8845V,2019-05-06 10:32:27,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate1,Northern Ireland,testdate2,England,British,Male,NA,Sikh
"el-Sala, Fahmi",48T9586A,2019-05-04 12:18:46,testpostcode1,Nonexistentshire,Wales,Midwife,Adult,TRUE,RPHN: Specialist community public health nurse,testdate1,Northern Ireland,testdate2,Scotland,Other,Other,NA,No religion
"al-Sharaf, Rawda",38M8273Y,2019-03-03 11:33:21,testpostcode1,N-on-existent,Scotland,Midwife,Mental health,TRUE,HV: Health visitor,testdate2,Wales,testdate1,Northern Ireland,Other,Male,NA,Other religion
"el-Aboud, Jubair",26R9413T,2019-09-08 12:07:58,testpostcode2,N-on-existent,Scotland,Nurse,Adult,FALSE,"RN3: Mental health nurse, level 1",testdate2,England,testdate2,Wales,Other,Female,NA,Jewish
"Frazier, Joseph",98C5637I,2019-11-09 19:46:31,testpostcode1,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,"RNC: Children's nurse, level 1",testdate1,Scotland,testdate1,Scotland,British,Male,NA,Muslim
"Keliiholokai, Jack",61I8070L,2019-12-20 18:57:29,testpostcode1,Nonexistentland,England,Nurse,Mental health,FALSE,"RN9: Fever nurse, level 2",testdate2,Wales,testdate1,Wales,Other,Male,NA,Jewish
"Yu, Maihao",82T6790F,2019-08-31 21:13:16,testpostcode1,Nonexistentland,Northern Ireland,Nurse,Adult,TRUE,V300: Nurse independent / supplementary prescriber,testdate1,Northern Ireland,testdate2,Wales,British,Female,NA,Other religion
"Flores, Angeles",09J0358J,2019-02-16 06:48:33,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Northern Ireland,testdate1,Scotland,Other,Male,NA,No religion
"Garnier, Evan",94Z9293D,2019-09-13 11:47:37,testpostcode1,N-on-existent,Northern Ireland,Nurse,Adult,FALSE,"RNC: Children's nurse, level 1",testdate1,Northern Ireland,testdate1,England,Other,Female,NA,Other religion
"Schlidt, Bailey",13D7696R,2019-08-04 16:20:44,testpostcode2,Nonexistentland,England,Nurse & Midwife,Adult,TRUE,RPHN: Specialist community public health nurse,testdate2,Scotland,testdate2,Scotland,British,Male,NA,Christian
"Ehr-Jackson, Avian",11X0907G,2019-06-23 09:09:46,testpostcode1,Nonexistentland,England,Nurse,Adult,TRUE,V100: Community practitioner nurse prescriber,testdate1,Scotland,testdate1,Northern Ireland,British,Other,NA,Buddhist
"Copley, Mackenzie",39G0335V,2019-11-23 12:14:42,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,TRUE,"RN8: Children's nurse, level 1",testdate2,England,testdate2,Northern Ireland,Other,Male,NA,No religion
"Bacon, Paul",35X1612C,2019-01-18 16:12:15,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Mental health,FALSE,FHN: Family health nurse,testdate1,England,testdate2,Northern Ireland,British,Male,NA,Muslim
"January, Serena",38X4290Z,2019-08-11 23:11:04,testpostcode2,N-on-existent,Scotland,Midwife,Adult,FALSE,V100: Community practitioner nurse prescriber,testdate2,Northern Ireland,testdate2,England,Other,Male,NA,Muslim
"el-Shams, Mufeeda",91K5451K,2019-04-10 23:43:56,testpostcode1,N-on-existent,Scotland,Midwife,Mental health,TRUE,SPMH: Specialist practitioner: Mental health,testdate1,Wales,testdate1,Wales,British,Female,NA,Religion not stated
"el-Baluch, Basheer",10E5519U,2019-03-04 06:30:45,testpostcode2,Nonexistentland,Scotland,Midwife,Mental health,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Scotland,testdate2,Wales,Other,Male,NA,Jewish
"Fresquez, Chazz",52P4557H,2019-08-30 06:38:42,testpostcode1,N-on-existent,Scotland,Nurse,Mental health,FALSE,V200: Nurse independent prescriber (extended formulary),testdate2,Outside UK,testdate2,Wales,British,Female,NA,Jewish
"el-Yousuf, Shaimaaa",61I2359D,2019-03-14 03:35:01,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,FALSE,V100: Community practitioner nurse prescriber,testdate2,Outside UK,testdate1,England,Other,Other,NA,No religion
"al-Abood, Aarifa",96S8455Q,2019-12-12 02:52:58,testpostcode1,N-on-existent,Northern Ireland,Midwife,Adult,FALSE,"NAR: Nursing associate",testdate1,England,testdate1,Northern Ireland,British,Male,NA,Other religion
"Drewno, Dipali",88P5547V,2019-10-10 21:48:29,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Adult,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,England,testdate2,Northern Ireland,Other,Male,NA,Hindu
"Lund, Daniel",70S0387E,2019-07-03 08:05:37,testpostcode2,Nonexistentshire,Wales,Nurse & Midwife,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Northern Ireland,testdate2,England,Other,Male,NA,Other religion
"Banuelos, Breanna",31V4355Y,2019-09-18 05:25:36,testpostcode1,N-on-existent,Northern Ireland,Nurse,Adult,TRUE,SN: School nurse,testdate1,England,testdate1,Northern Ireland,British,Male,NA,Religion not stated
"Bolyard, Jeffrey",41O4104A,2019-05-20 18:44:27,testpostcode2,Nonexistentland,Wales,Nurse,Mental health,TRUE,OH: Occupational health nurse,testdate2,Outside UK,testdate2,Northern Ireland,Other,Other,NA,Muslim
"Waterman, Mckenzie",53F8687G,2019-08-15 17:13:39,testpostcode1,N-on-existent,Scotland,Nurse,Mental health,FALSE,SCMH: Specialist practitioner: Community mental health nursing,testdate1,Wales,testdate2,England,British,Other,NA,Other religion
"Jamerson, Dominique",47F9149F,2019-01-02 18:51:01,testpostcode2,N-on-existent,England,Midwife,Mental health,TRUE,HV: Health visitor,testdate1,England,testdate1,Northern Ireland,Other,Female,NA,Jewish
"Williams, Gregory",87U2825Y,2019-10-30 01:49:58,testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Northern Ireland,testdate2,Northern Ireland,British,Female,NA,Sikh
"el-Sadiq, Daif",03Q6918B,2019-01-03 06:46:21,testpostcode1,N-on-existent,Scotland,Midwife,Adult,TRUE,SPDN: Specialist practitioner: District nursing,testdate2,Wales,testdate1,Wales,British,Female,NA,Sikh
"Castro, Mayra",33B5745L,2019-01-11 23:30:37,testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Mental health,FALSE,SN: School nurse,testdate2,Wales,testdate1,Scotland,Other,Male,NA,Other religion
"Fifita, Dylan",46D7736X,2019-05-14 03:07:00,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,FALSE,FHN: Family health nurse,testdate2,Scotland,testdate1,Wales,British,Other,NA,Hindu
"el-Emami, Ghuzaila",41X0504J,2019-08-16 04:22:22,testpostcode2,N-on-existent,Wales,Midwife,Adult,FALSE,RPHN: Specialist community public health nurse,testdate1,Scotland,testdate1,Scotland,British,Female,NA,Buddhist
"Nguyen, Kyla",39X3065G,2019-01-09 01:47:32,testpostcode1,N-on-existent,Wales,Midwife,Mental health,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate1,Scotland,testdate1,Northern Ireland,Other,Female,NA,Muslim
"Warren, Mariah",79O7411A,2019-12-18 18:22:29,testpostcode2,Nonexistentshire,Scotland,Nurse,Adult,FALSE,V100: Community practitioner nurse prescriber,testdate2,Northern Ireland,testdate2,Wales,British,Female,NA,Christian
"al-Badie, Randa",77Q4910Z,2019-02-05 15:32:36,testpostcode1,Nonexistentland,England,Nurse & Midwife,Adult,TRUE,RM: Midwife,testdate2,Northern Ireland,testdate2,Northern Ireland,British,Male,NA,No religion
"Arciniega-Valdez, Nathan",67C3798L,2019-06-11 05:41:34,testpostcode1,N-on-existent,England,Nurse,Mental health,TRUE,"NAR: Nursing associate",testdate1,Wales,testdate1,Wales,Other,Male,NA,Religion not stated
"al-Ahmadi, Sabeeka",96N7939O,2019-01-10 07:14:54,testpostcode2,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,TRUE,"NAR: Nursing associate",testdate2,Scotland,testdate2,Wales,Other,Male,NA,Hindu
"Foster, Aubrey",66C6333Q,2019-12-08 05:13:35,testpostcode1,Nonexistentland,Wales,Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Female,NA,Sikh
"Fitzsimmons, Ricky",67Y1611B,2019-07-30 01:16:45,testpostcode1,N-on-existent,Scotland,Nurse & Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate1,Outside UK,testdate2,Scotland,Other,Other,NA,Christian
"Buist Jr, Katrina",48M7061P,2019-06-18 03:29:08,testpostcode1,Nonexistentland,Wales,Midwife,Mental health,TRUE,RSN: School nurse,testdate2,Northern Ireland,testdate1,England,Other,Other,NA,Sikh
"Doremus, Davis",69W0422Q,2019-12-23 07:43:41,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,FALSE,"RN9: Fever nurse, level 2",testdate1,Scotland,testdate1,Scotland,Other,Male,NA,Buddhist
"al-Salik, Afraah",48L5934M,2019-06-02 15:25:34,testpostcode2,N-on-existent,Wales,Midwife,Mental health,FALSE,V100: Community practitioner nurse prescriber,testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Female,NA,No religion
"Jauch, Joshua",43G2226H,2019-04-13 02:37:38,testpostcode2,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate1,Wales,testdate1,Wales,Other,Male,NA,Jewish
"Ornelas, Jordon",53Y4656I,2019-05-11 06:59:13,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,FALSE,V200: Nurse independent prescriber (extended formulary),testdate2,Outside UK,testdate2,Scotland,British,Female,NA,No religion
"Trujillo, Ashley",08L8216Y,2019-09-13 07:35:43,testpostcode1,Nonexistentland,Scotland,Nurse & Midwife,Adult,TRUE,RFHN: Family health nurse,testdate2,Scotland,testdate1,Northern Ireland,Other,Other,NA,No religion
"al-Ben, Munisa",58X2456G,2019-07-31 12:09:09,testpostcode2,N-on-existent,England,Midwife,Adult,FALSE,RPHN: Specialist community public health nurse,testdate2,Wales,testdate1,England,British,Other,NA,Jewish
"Ashcroft-Bitsilly, Samantha",56A9484B,2019-09-06 06:22:23,testpostcode2,N-on-existent,Wales,Midwife,Adult,TRUE,SPC: Specialist practitioner: Children's nursing,testdate1,England,testdate2,Wales,British,Male,NA,Sikh
"al-Matin, Sajaa",86A8708Z,2019-12-21 07:06:17,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,FALSE,"RN8: Children's nurse, level 1",testdate1,Outside UK,testdate1,Scotland,Other,Other,NA,Religion not stated
"Marlin, Anjelique",84A8539I,2019-07-20 17:17:02,testpostcode1,Nonexistentland,Northern Ireland,Nurse,Mental health,FALSE,V100: Community practitioner nurse prescriber,testdate1,Northern Ireland,testdate1,Northern Ireland,Other,Other,NA,Sikh
"Garcia, Alyssa",88J2263U,2019-11-14 00:16:58,testpostcode1,Nonexistentshire,England,Nurse,Mental health,FALSE,"RN5: Learning disabilities nurse, level 1",testdate2,England,testdate2,Wales,Other,Male,NA,Hindu
"Panchal, Christina",44A9199S,2019-09-03 18:58:48,testpostcode2,Nonexistentshire,England,Midwife,Adult,TRUE,"RNMH: Mental health nurse, level 1",testdate2,Northern Ireland,testdate1,England,British,Female,NA,Sikh
"Cordova, Dillon",57S2741T,2019-11-26 22:20:30,testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,FALSE,SPC: Specialist practitioner: Children's nursing,testdate1,Wales,testdate1,Northern Ireland,British,Male,NA,Muslim
"Mohamed, Nicole",87R4263F,2019-09-03 03:52:09,testpostcode2,N-on-existent,England,Nurse,Adult,FALSE,RHV: Health visitor,testdate1,Northern Ireland,testdate2,Northern Ireland,Other,Other,NA,No religion
"el-Abdelnour, Mukarram",91A8200G,2019-05-25 21:56:40,testpostcode1,N-on-existent,Wales,Nurse,Adult,FALSE,OH: Occupational health nurse,testdate1,Wales,testdate2,England,British,Male,NA,Hindu
"Wenum, Chase",61C2226U,2019-02-11 16:45:49,testpostcode2,Nonexistentshire,England,Nurse,Adult,TRUE,ROH: Occupational health nurse,testdate1,Wales,testdate2,England,British,Male,NA,Muslim
"Desch, Irma",50F9931G,2019-08-14 17:17:55,testpostcode2,N-on-existent,Scotland,Nurse & Midwife,Mental health,TRUE,SPA: Specialist practitioner: Adult nursing,testdate1,England,testdate2,Scotland,Other,Female,NA,Muslim
"Wiebe, Urey",93D4630U,2019-11-18 10:03:30,testpostcode2,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,V300: Nurse independent / supplementary prescriber,testdate2,Northern Ireland,testdate2,Northern Ireland,British,Female,NA,Jewish
"Kroonenberg, Lisa",09C0918E,2019-12-30 19:43:22,testpostcode2,Nonexistentland,England,Nurse & Midwife,Adult,TRUE,TCH: Teacher,testdate2,England,testdate2,Scotland,British,Female,NA,Hindu
"Jimenez, Amber",86X2347C,2019-03-20 15:35:28,testpostcode2,N-on-existent,Wales,Nurse,Adult,TRUE,RM: Midwife,testdate2,Scotland,testdate2,Scotland,Other,Female,NA,Christian
"al-Ishmael, Ulyaa",40V8052K,2019-09-10 13:02:15,testpostcode1,Nonexistentshire,Scotland,Nurse,Mental health,FALSE,SN: School nurse,testdate2,Wales,testdate2,Northern Ireland,Other,Other,NA,Hindu
"Kor, Faran",53Q3827N,2019-11-17 20:03:51,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,FALSE,"RN8: Children's nurse, level 1",testdate2,Northern Ireland,testdate1,Northern Ireland,British,Other,NA,Muslim
"Tucson, Jeremy",53M1714O,2019-10-07 17:10:05,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Adult,TRUE,SPDN: Specialist practitioner: District nursing,testdate1,Wales,testdate2,England,Other,Male,NA,Other religion
"Bathija, Carl",72J6253E,2019-01-30 23:54:41,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,TRUE,RHV: Health visitor,testdate2,England,testdate2,England,British,Female,NA,Other religion
"el-Salehi, Rifqa",40O6099T,2019-08-21 11:24:24,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Mental health,TRUE,"RN3: Mental health nurse, level 1",testdate1,Outside UK,testdate2,Wales,British,Male,NA,Buddhist
"Embry, Savannah",56W8797N,2019-04-20 02:35:57,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate2,Northern Ireland,testdate2,Northern Ireland,Other,Other,NA,Christian
"Raymond, Mareena",28O8700J,2019-07-07 01:05:39,testpostcode1,Nonexistentland,England,Nurse,Adult,FALSE,LPE: Lecturer / Practice educator,testdate2,Northern Ireland,testdate2,Scotland,Other,Male,NA,No religion
"al-Halim, Sumayya",53F2064T,2019-06-05 21:44:33,testpostcode2,Nonexistentland,Scotland,Midwife,Adult,FALSE,LPE: Lecturer / Practice educator,testdate1,Wales,testdate1,Scotland,British,Male,NA,Jewish
"Johnson, Aliyah",87R4263F,2019-07-11 06:12:55,testpostcode1,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Scotland,testdate2,England,British,Male,NA,No religion
"Urenda, Jenacie",67X7249S,2019-04-02 22:46:25,testpostcode2,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,England,testdate1,England,British,Other,NA,Religion not stated
"Ghimire, Moses",20I3861A,2019-08-15 15:01:34,testpostcode2,N-on-existent,England,Nurse & Midwife,Adult,FALSE,"RN3: Mental health nurse, level 1",testdate2,Wales,testdate1,England,British,Other,NA,Buddhist
"Risley, Colby",10D7301B,2019-03-30 10:37:50,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Adult,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate1,England,testdate2,Wales,Other,Male,NA,Other religion
"Washington, Chukwuma",14W4058H,2019-03-04 13:56:19,testpostcode1,Nonexistentland,Scotland,Nurse,Adult,FALSE,SPDN: Specialist practitioner: District nursing,testdate1,England,testdate1,Northern Ireland,British,Male,NA,No religion
"el-Ally, Samir",32V5340V,2019-11-16 19:26:58,testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate1,Scotland,testdate1,England,British,Female,NA,Christian
"Hernandez, Jesse",95U4857Z,2019-04-17 01:34:31,testpostcode1,Nonexistentland,England,Midwife,Adult,TRUE,HV: Health visitor,testdate1,Outside UK,testdate1,Wales,Other,Male,NA,Religion not stated
"Ortiz, Jaquelin",86O3984C,2019-11-17 02:20:59,testpostcode1,Nonexistentland,Scotland,Nurse & Midwife,Mental health,FALSE,"RNA: Adult nurse, level 1",testdate1,Scotland,testdate1,Scotland,British,Other,NA,Buddhist
"Sonko, Raheem",61H8554G,2019-06-10 22:11:21,testpostcode1,N-on-existent,Scotland,Midwife,Adult,FALSE,V300: Nurse independent / supplementary prescriber,testdate2,England,testdate1,Wales,Other,Other,NA,No religion
"Hernandez, Crystal",10P4635G,2019-12-19 10:35:07,testpostcode1,Nonexistentland,Scotland,Midwife,Mental health,TRUE,"RNA: Adult nurse, level 1",testdate1,Northern Ireland,testdate1,Scotland,Other,Other,NA,Buddhist
"al-Parsa, Haajid",86K8267F,2019-04-17 04:15:08,testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,FALSE,"RN9: Fever nurse, level 2",testdate1,England,testdate2,Wales,British,Other,NA,Jewish
"Stuart, Joshua",61R2755E,2019-07-03 22:04:23,testpostcode2,Nonexistentland,England,Nurse & Midwife,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate1,Wales,testdate1,Scotland,British,Other,NA,Other religion
"al-Jalil, Muhyddeen",73S9354N,2019-08-31 20:44:06,testpostcode1,Nonexistentland,Wales,Midwife,Adult,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate2,Northern Ireland,testdate1,Northern Ireland,British,Male,NA,Sikh
"al-Bilal, Shaahida",99C8858U,2019-11-21 14:54:43,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Adult,TRUE,RPHN: Specialist community public health nurse,testdate2,Scotland,testdate1,Scotland,Other,Male,NA,Buddhist
"Carter, Asli",16V2807H,2019-01-01 03:16:05,testpostcode2,Nonexistentland,Wales,Nurse,Adult,FALSE,"RN2: Adult nurse, level 2",testdate1,Scotland,testdate2,Wales,Other,Male,NA,Sikh
"Remillard, Marnita",87B8157X,2019-10-28 04:13:26,testpostcode2,N-on-existent,Scotland,Midwife,Adult,FALSE,SPA: Specialist practitioner: Adult nursing,testdate1,Northern Ireland,testdate2,Scotland,Other,Other,NA,Christian
"Lam, Payton",22O0033A,2019-10-13 02:41:18,testpostcode1,N-on-existent,Scotland,Midwife,Mental health,TRUE,LPE: Lecturer / Practice educator,testdate2,England,testdate2,Scotland,Other,Male,NA,No religion
"Tyler, Courtland",37T9165R,2019-10-29 22:04:57,testpostcode2,N-on-existent,Scotland,Nurse & Midwife,Mental health,FALSE,"RN8: Children's nurse, level 1",testdate2,England,testdate2,Northern Ireland,Other,Female,NA,No religion
"Wilkerson, Samone",48U0792L,2019-09-07 21:55:20,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,FALSE,"RN3: Mental health nurse, level 1",testdate1,Scotland,testdate1,Wales,British,Female,NA,No religion
"el-Latif, Haafiza",66G0993U,2019-06-03 09:16:10,testpostcode1,N-on-existent,England,Nurse & Midwife,Mental health,FALSE,"RN9: Fever nurse, level 2",testdate1,Scotland,testdate1,England,Other,Female,NA,Jewish
"Nawaz, Nicole",58X2483T,2019-11-24 06:06:09,testpostcode1,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,RPHN: Specialist community public health nurse,testdate1,England,testdate2,Scotland,Other,Female,NA,Other religion
"Barnes, Jordan",27N4927E,2019-03-24 02:14:56,testpostcode1,N-on-existent,Northern Ireland,Nurse,Mental health,FALSE,LPE: Lecturer / Practice educator,testdate2,Northern Ireland,testdate1,England,Other,Other,NA,Religion not stated
"al-Hassan, Haifaaa",50T7054R,2019-12-30 04:18:39,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Adult,TRUE,ROH: Occupational health nurse,testdate1,England,testdate1,Scotland,Other,Female,NA,Christian
"Knodel-Eldridge, Rebecca",51J6099K,2019-01-21 07:23:50,testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Adult,TRUE,TCH: Teacher,testdate2,Outside UK,testdate2,Wales,Other,Female,NA,Christian
"Cheng, Celeste",52B7643N,2019-07-30 07:33:10,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Adult,TRUE,LPE: Lecturer / Practice educator,testdate1,Scotland,testdate2,Wales,Other,Male,NA,Christian
"el-Farran, Abeer",77D0611F,2019-09-19 14:54:05,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,FALSE,"RN4: Mental health nurse, level 2",testdate1,Scotland,testdate2,Wales,Other,Male,NA,Muslim
"Ali, Arik",52O2891B,2019-09-11 14:07:10,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate1,England,testdate1,Scotland,British,Male,NA,Buddhist
"Xiang, Chhun",80M5518N,2019-08-09 16:10:12,testpostcode2,N-on-existent,Scotland,Midwife,Adult,FALSE,SPDN: Specialist practitioner: District nursing,testdate1,Wales,testdate2,Northern Ireland,British,Other,NA,Hindu
"Conover, Cassie",74H9876F,2019-03-23 06:46:25,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate2,Scotland,testdate2,England,Other,Other,NA,Buddhist
"Caballero, Cameron",78O0237W,2019-02-20 20:27:34,testpostcode1,Nonexistentshire,England,Midwife,Adult,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Northern Ireland,testdate2,Northern Ireland,British,Female,NA,Buddhist
"Ewertz, Brianne",46X1904C,2019-06-03 03:53:31,testpostcode1,Nonexistentland,England,Nurse & Midwife,Mental health,TRUE,"RN2: Adult nurse, level 2",testdate1,Scotland,testdate1,Wales,Other,Female,NA,Buddhist
"al-Farooqui, Shaqeeq",82N7359Z,2019-05-10 23:52:48,testpostcode2,Nonexistentland,Wales,Midwife,Mental health,FALSE,"RN3: Mental health nurse, level 1",testdate2,Wales,testdate2,Scotland,Other,Other,NA,Sikh
"Hutchinson, Cassandra",34U1635J,2019-05-09 11:27:24,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,V300: Nurse independent / supplementary prescriber,testdate1,Wales,testdate1,Scotland,British,Other,NA,Christian
"Ransom, Caleb",88R4505K,2019-12-05 19:32:07,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,TRUE,"RN8: Children's nurse, level 1",testdate1,Wales,testdate2,Wales,British,Female,NA,Muslim
"Kim, Ralph Patrick",58P8453A,2019-10-09 20:14:23,testpostcode2,Nonexistentland,Wales,Midwife,Adult,TRUE,"NAR: Nursing associate",testdate2,Northern Ireland,testdate1,Wales,British,Female,NA,Hindu
"Mckinney, Brianna",74G9246L,2019-10-15 15:10:56,testpostcode1,N-on-existent,England,Nurse,Adult,TRUE,SPA: Specialist practitioner: Adult nursing,testdate2,Scotland,testdate1,Northern Ireland,Other,Male,NA,Buddhist
"Ross, Tevin",33H8045H,2019-10-10 13:40:10,testpostcode2,N-on-existent,Scotland,Midwife,Adult,TRUE,"NAR: Nursing associate",testdate2,Northern Ireland,testdate1,England,British,Other,NA,Jewish
"al-Sultan, Hasana",51G2933P,2019-06-30 03:06:33,testpostcode2,N-on-existent,Northern Ireland,Nurse,Mental health,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate2,England,testdate2,Wales,British,Other,NA,Sikh
"Martinez, Diego",43W3360J,2019-02-26 12:04:27,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Adult,FALSE,RPHN: Specialist community public health nurse,testdate1,Outside UK,testdate2,Wales,British,Female,NA,Hindu
"Vishwamitra, Kyoung Min",20G9930Q,2019-06-15 04:04:51,testpostcode1,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,FALSE,ROH: Occupational health nurse,testdate1,England,testdate2,Scotland,British,Male,NA,Buddhist
"Llamas, Mia",52K8272T,2019-02-07 17:31:53,testpostcode1,N-on-existent,Scotland,Midwife,Mental health,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,Scotland,testdate1,Scotland,British,Female,NA,Jewish
"Loya, Diego",20C8312K,2019-11-08 06:06:55,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Scotland,testdate2,England,Other,Other,NA,Christian
"Fresquez, Curtis",45X1426B,2019-11-12 05:20:15,testpostcode2,Nonexistentland,Wales,Nurse,Mental health,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate1,Scotland,testdate1,England,British,Other,NA,Jewish
"Le, Mitchell",26T5245S,2019-05-24 22:06:53,testpostcode1,Nonexistentland,Wales,Nurse,Mental health,TRUE,V100: Community practitioner nurse prescriber,testdate2,Wales,testdate1,Scotland,Other,Male,NA,Other religion
