name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Quintero, Emily",23K7173I,2019-03-08 20:58:53,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,CPD,FALSE,TRUE
"al-Shad, Saajid",65F4365A,2019-04-13 18:38:15,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,FALSE
"el-Mohamad, Rafeeq",69Y8203L,2019-11-07 05:27:17,TRUE,Nurse outside the UK,Yes,Deceased,Nurse,Practice-related feedback,FALSE,TRUE
"Kotwica, Kyle",75O9638S,2019-07-22 00:09:42,FALSE,Nurse outside the UK,Yes,Ill health,Nurse,CPD,FALSE,FALSE
"Thomas, Sydney",33Z3603F,2019-04-21 20:28:09,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,TRUE
"Coleman, Joseph",10Y1468R,2019-07-01 06:28:18,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Health and character declaration,FALSE,TRUE
"Sanchez, Hugo",44M5961R,2019-10-31 20:21:05,TRUE,Midwife outside the UK,No,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Chang, Justin",69J8288L,2019-10-04 20:31:53,TRUE,Nurse outside the UK,Yes,Deceased,Midwife,Confirmation,TRUE,TRUE
"Pope, Clifton",58C0835L,2019-09-09 21:11:45,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"el-Basa, Hadeel",44X6152A,2019-06-19 03:25:28,FALSE,Midwife outside the UK,No,Deceased,Nurse,Practice-related feedback,TRUE,TRUE
"Mandell, Dominic",71Q9758T,2019-11-06 07:57:27,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Reflective discussion,TRUE,FALSE
"Yan, Jimmy",56X6357H,2019-02-16 23:25:12,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Digby, Alysha",02P3840D,2019-08-25 04:24:11,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,FALSE,FALSE
"Murphy, Simone",50D5338Y,2019-03-16 10:08:49,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,TRUE
"Trujillo, Ashley",45M7755K,2019-07-14 05:09:46,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Bell, Michael",87K6277H,2019-03-11 02:54:34,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Practice-related feedback,TRUE,FALSE
"Makris, Sapphire",64F5162N,2019-11-08 18:28:32,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"Striegel, Kendall",17Y3675C,2019-05-11 11:31:35,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"al-Sultan, Taariq",36Q3791Q,2019-10-30 20:19:24,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,FALSE
"al-Rahman, Abdul Jaleel",91D0415I,2019-11-04 01:55:20,FALSE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Health and character declaration,TRUE,FALSE
"Lovald, Trae",82H2583Y,2019-08-09 18:16:49,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Kirksey, Wyatt",27K0158Z,2019-12-17 03:10:33,FALSE,Nurse inside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,FALSE
"Grant, Tasia",99P3311H,2019-11-14 16:39:53,TRUE,Midwife outside the UK,No,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"Dufresne, Johnathon",09M8181D,2019-09-26 17:14:32,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,FALSE
"Mike IV, Teaonna",46G1254R,2019-10-09 18:44:20,FALSE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Practice-related feedback,FALSE,FALSE
"el-Tabet, Farhaan",96C1698S,2019-12-24 21:35:59,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,FALSE,TRUE
"Traversie, Lucas",51H7991J,2019-06-08 05:27:14,FALSE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Health and character declaration,TRUE,TRUE
"Cook, Daniel",66Q6342C,2019-05-23 10:02:55,FALSE,Nurse outside the UK,Yes,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"al-Azizi, Jannat",55P1835X,2019-03-01 06:17:23,TRUE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Confirmation,FALSE,FALSE
"Lockyer, Rito",75T5228B,2019-01-11 20:19:57,FALSE,Midwife outside the UK,Yes,Retirement,Nurse,Health and character declaration,TRUE,TRUE
"Wallace, Olivia",92M7090V,2019-01-05 06:37:01,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,TRUE,FALSE
"Palmer, Marigret",58Z2126P,2019-11-02 19:35:55,FALSE,Nurse outside the UK,Yes,Ill health,Nurse,CPD,FALSE,TRUE
"Tolliver, Krystal",63B4803M,2019-10-23 11:52:10,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,TRUE
"Gallegos, Tessa",16E6449C,2019-04-05 09:10:40,TRUE,Nurse outside the UK,Yes,Ill health,Midwife,Health and character declaration,FALSE,TRUE
"Williams, Nathaniel",90R5639L,2019-10-13 13:12:39,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,TRUE
"Gonzales, Joseph",67J3695W,2019-11-19 01:10:08,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,TRUE,FALSE
"Chavez, Jamie",98N4590X,2019-08-25 14:47:27,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Confirmation,FALSE,TRUE
"Garcia, Nicole",84L2675P,2019-06-20 05:30:58,FALSE,Midwife outside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"Lovald, Trae",88V9466K,2019-12-04 12:07:34,TRUE,Midwife outside the UK,Yes,Ill health,Midwife,Confirmation,TRUE,FALSE
"Han, Jason",08S8699U,2019-11-09 05:18:16,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,FALSE
"Camacho, Emma",58J4580J,2019-04-02 02:16:59,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Pence, Edward",14B4870X,2019-01-20 21:42:30,TRUE,Midwife outside the UK,No,Deceased,Midwife,Reflective discussion,FALSE,TRUE
"Ramirez, Yvette",86R5799E,2019-10-29 00:25:53,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Confirmation,TRUE,TRUE
"Langer, Jacob",86J5735B,2019-03-02 15:23:55,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"el-Habib, Ruqayya",61L9905W,2019-07-07 16:19:54,TRUE,Nurse outside the UK,No,Retirement,Midwife,Reflective discussion,TRUE,TRUE
"Munoz, Catherine",58Q8813B,2019-10-29 00:25:53,TRUE,Nurse inside the UK,No,Deceased,Nurse,Confirmation,FALSE,TRUE
"Habimana, Taylor",44D4233O,2019-10-17 06:59:21,FALSE,Midwife outside the UK,Partial lapse,Ill health,Midwife,CPD,FALSE,FALSE
"Poulson, Derek",97Q4778M,2019-08-10 21:22:02,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,TRUE
"Vang, Lebon",15H0679G,2019-10-12 04:58:45,TRUE,Nurse inside the UK,Yes,Retirement,Midwife,Health and character declaration,TRUE,FALSE
"Tutt, Howard",36T0186V,2019-05-11 17:19:48,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,CPD,TRUE,FALSE
"Mickelson, Brandon",33O4878Q,2019-03-29 00:30:50,TRUE,Nurse inside the UK,Yes,Retirement,Midwife,Practice-related feedback,TRUE,FALSE
"Malacarne, Olivia",11E1551A,2019-01-15 05:34:32,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"Peredo, Conan",23F1526V,2019-06-03 21:34:22,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Smith, Michael",02G5726M,2019-10-29 17:07:07,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,CPD,TRUE,FALSE
"Ramirez, Savannah",52L7568X,2019-11-02 03:11:50,TRUE,Nurse inside the UK,No,Retirement,Nurse,CPD,TRUE,FALSE
"Zhen, Pearl",88G1607R,2019-06-07 22:48:55,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,FALSE
"Reish, Bryce",17V8726Q,2019-08-09 16:10:12,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Reflective discussion,TRUE,TRUE
"Moon, Pragna",98N1037H,2019-05-17 02:28:10,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,CPD,FALSE,FALSE
"Wiscombe, Spencer",45I7339E,2019-02-06 14:33:33,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Practice hours,FALSE,FALSE
"Gresham, Jonathan",16I2939K,2019-08-23 16:42:11,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"Litt, Matthew",46P9226M,2019-02-23 18:40:08,FALSE,Nurse inside the UK,Yes,Ill health,Midwife,Practice hours,FALSE,FALSE
"Molock, Guem",84Y0600P,2019-08-11 04:31:49,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Practice hours,TRUE,TRUE
"el-Jamil, Mahmooda",13U5140S,2019-10-06 22:13:59,TRUE,Nurse inside the UK,No,Ill health,Nurse,Reflective discussion,FALSE,FALSE
"Zhao, Sainyane",40K8730I,2019-10-18 07:45:04,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Written reflective accounts,TRUE,TRUE
"Turner, Megan",77K2734B,2019-05-07 03:51:12,FALSE,Nurse inside the UK,Yes,Deceased,Midwife,CPD,TRUE,FALSE
"Grano, Hae",14C5333W,2019-06-30 22:16:56,TRUE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Health and character declaration,FALSE,FALSE
"Post, Billy",43Q9189U,2019-01-02 21:06:03,FALSE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Practice-related feedback,FALSE,FALSE
"Nguyen, Steven",93M3614A,2019-07-20 20:05:24,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Reflective discussion,TRUE,TRUE
"Haas, Joshua",30L0079K,2019-12-22 19:58:30,FALSE,Nurse outside the UK,No,Retirement,Midwife,Reflective discussion,TRUE,FALSE
"Githere, Alexis",15C6958P,2019-04-22 11:40:14,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Reflective discussion,TRUE,TRUE
"Dysart, Shaylah",51U5887J,2019-10-21 02:48:13,TRUE,Midwife outside the UK,No,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"el-Haidar, Ramla",92I9657B,2019-07-15 11:58:17,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Confirmation,FALSE,TRUE
"Padilla, Melissa",94O4489K,2019-05-18 15:00:21,TRUE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Practice hours,TRUE,TRUE
"Elbert, Christopher",36E5228R,2019-03-11 23:42:19,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,CPD,TRUE,FALSE
"Yanito, Brittanyclaire",85V5102J,2019-09-15 16:10:42,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,CPD,FALSE,FALSE
"Perales, Meselino",68L2452I,2019-04-11 11:01:55,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Health and character declaration,FALSE,FALSE
"Perales, Meselino",35L5672W,2019-09-04 00:29:52,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Health and character declaration,FALSE,TRUE
"Cleavenger, Emma",18L5369U,2019-02-25 20:14:45,TRUE,Nurse inside the UK,Yes,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Tampubolon, Grae",93Q3947K,2019-03-28 07:30:41,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,TRUE
"Kim, Christine",47U8167P,2019-11-29 23:52:55,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"De Santiago Garcia, Samuel",78N8692W,2019-08-02 04:54:01,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,TRUE
"Bear, Christian",13S0810X,2019-04-02 14:35:43,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,Practice hours,TRUE,TRUE
"Brown, Dillon",75O9638S,2019-02-22 00:24:11,TRUE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Reflective discussion,FALSE,FALSE
"al-Khalaf, Siddeeqi",60D8180S,2019-04-28 16:36:56,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice hours,TRUE,TRUE
"Aragon, Garrett",28S4938J,2019-12-14 05:42:29,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Written reflective accounts,FALSE,TRUE
"Miller, Marisa",82G0428A,2019-09-14 03:53:39,TRUE,Nurse outside the UK,No,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"el-Uddin, Murshid",17I7997I,2019-08-18 16:15:50,FALSE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,TRUE,TRUE
"Marquez, Nancy",95Z0711L,2019-10-03 17:14:49,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,FALSE
"Low, Morgan",01E2513G,2019-09-26 16:23:30,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,TRUE
"Standish, Briana",16U8444X,2019-08-30 03:29:33,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Confirmation,TRUE,TRUE
"Gatewood, Labon",37H1474O,2019-08-20 23:20:13,FALSE,Nurse outside the UK,Yes,Deceased,Nurse,CPD,FALSE,FALSE
"Demera, Dominic",86X2347C,2019-06-21 18:26:12,FALSE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Practice-related feedback,TRUE,TRUE
"Palacios Rios, Sonny",72G1963E,2019-10-21 10:15:15,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Health and character declaration,FALSE,FALSE
"Fontaine, Brandon",27K4119S,2019-08-09 02:05:22,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"el-Akhtar, Sukaina",07T4513S,2019-03-17 17:45:39,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,TRUE
"Sharma, Rohit",99V2713B,2019-10-18 15:54:34,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Confirmation,FALSE,FALSE
"Adlesperger, Kellen",95V4295M,2019-07-14 09:03:53,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Confirmation,TRUE,FALSE
"Mosinski, Shelby",34U6065Z,2019-05-29 02:28:19,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,TRUE,FALSE
"Khan, Yueh-Ya",51G8470M,2019-10-07 11:42:46,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"al-Khawaja, Rutaiba",69V6093I,2019-02-23 09:03:56,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,FALSE,TRUE
"al-Abdallah, Hilmiyya",13N0057H,2019-06-19 20:38:21,FALSE,Midwife outside the UK,Yes,Retirement,Midwife,Written reflective accounts,TRUE,TRUE
"Le, Huy",15Z3102M,2019-07-19 14:55:54,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Practice-related feedback,FALSE,FALSE
"al-Radi, Hadeel",07B0341X,2019-05-11 22:57:28,FALSE,Nurse inside the UK,Yes,Deceased,Nurse,Health and character declaration,FALSE,FALSE
"Merritt, Shawn",09H1645N,2019-02-19 13:28:31,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Litt, Matthew",28W8637G,2019-03-08 01:54:13,FALSE,Nurse inside the UK,No,Deceased,Nurse,Written reflective accounts,TRUE,TRUE
"Corales Madrigal, Angel",60C5318Q,2019-03-11 16:09:30,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Fischer, Amaihah",14C3440G,2019-01-25 05:07:08,FALSE,Nurse outside the UK,Yes,Retirement,Midwife,Reflective discussion,FALSE,FALSE
"Hice, Charles",03M7394L,2019-08-05 00:53:05,TRUE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"el-Samad, Muzammil",75O1554E,2019-09-22 23:26:46,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Swenson, Cameron",42E8045L,2019-04-20 20:55:30,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Gonzales, Genesis",47L2581I,2019-03-02 05:46:05,FALSE,Nurse outside the UK,No,Retirement,Midwife,Practice-related feedback,TRUE,TRUE
"Archuleta, Tashina",85P4090N,2019-01-21 00:32:57,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Written reflective accounts,TRUE,TRUE
"Pyles, Steven",80U7478N,2019-08-19 02:59:10,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,Health and character declaration,FALSE,TRUE
"Kiper, Meskerem",72B7831U,2019-10-18 15:54:34,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Reflective discussion,FALSE,FALSE
"Castille, Kyle",24Z5000J,2019-09-17 21:32:31,FALSE,Nurse outside the UK,No,Retirement,Nurse,Practice hours,TRUE,FALSE
"Zhang, Varun",77V9801K,2019-06-07 02:11:34,FALSE,Midwife outside the UK,No,Ill health,Midwife,Practice-related feedback,FALSE,TRUE
"Briese, Kaila",86Y4287J,2019-05-31 21:39:04,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"Moon, Pragna",77M6496F,2019-12-22 22:27:54,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,TRUE
"Tita, Stanlon",02O0562J,2019-05-29 18:55:19,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Corning, Jie",91K5451K,2019-06-27 07:06:10,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,FALSE,TRUE
"Ramirez, Dayanna",88P1780J,2019-10-31 03:48:07,FALSE,Midwife outside the UK,Yes,Ill health,Nurse,Reflective discussion,FALSE,TRUE
"Ali, Arik",34V2208L,2019-08-22 14:15:21,TRUE,Nurse outside the UK,Yes,Ill health,Nurse,Practice-related feedback,FALSE,FALSE
"Modglin, Arizona",58Q6302C,2019-07-16 18:16:07,FALSE,Midwife outside the UK,No,Ill health,Midwife,Reflective discussion,TRUE,FALSE
"Martin, T'Andra",77X4487B,2019-12-11 22:04:11,FALSE,Midwife outside the UK,No,Ill health,Nurse,CPD,FALSE,FALSE
"el-Salloum, Fahmi",90A5848N,2019-12-28 15:00:05,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Health and character declaration,TRUE,FALSE
"Lambert, Brianna",45Z2153R,2019-04-14 06:20:41,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,Confirmation,TRUE,TRUE
"Thamrongpradith, Kazuya",02Q0983E,2019-11-18 17:59:12,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,TRUE
"Baca, Nathan",53P1654M,2019-04-27 19:42:23,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Written reflective accounts,FALSE,TRUE
"Macqueen, Taylor",58V3084V,2019-09-14 14:50:50,FALSE,Nurse inside the UK,No,Deceased,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Harmon, Brandi",25C4471M,2019-01-26 03:13:36,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Vaca, Daphanie",49I1221N,2019-06-29 03:20:43,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Health and character declaration,FALSE,FALSE
"Geer, Marcus",42Y3872J,2019-01-05 23:24:09,TRUE,Nurse outside the UK,Yes,Retirement,Nurse,Reflective discussion,TRUE,TRUE
"Perez, Cinthia",03Q6926U,2019-07-24 22:26:57,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,FALSE
"el-Abdo, Dhaakir",45B8997U,2019-01-26 22:16:24,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,CPD,FALSE,FALSE
"Sims-Cummings, Jayla",89Q0109A,2019-12-30 19:43:22,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,TRUE
"Knodel-Eldridge, Rebecca",49Y5841V,2019-12-13 00:21:27,FALSE,Midwife outside the UK,Yes,Retirement,Nurse,Reflective discussion,TRUE,TRUE
"Maldonado, Sadie",18E4637F,2019-10-17 13:54:07,TRUE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Reflective discussion,TRUE,FALSE
"Mcglothin, Jonathan",01N0546B,2019-12-16 01:26:03,FALSE,Nurse outside the UK,No,Ill health,Nurse,Confirmation,FALSE,FALSE
"Rivera, Jessica",19V5392T,2019-12-26 03:35:15,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,CPD,TRUE,TRUE
"Archuleta, Holly",08Y3255Y,2019-12-29 01:22:50,FALSE,Midwife outside the UK,Partial lapse,Deceased,Nurse,Practice hours,FALSE,TRUE
"Johnson, Quiyavae",74H9876F,2019-08-18 12:55:15,TRUE,Nurse outside the UK,Yes,Ill health,Midwife,Confirmation,TRUE,FALSE
"Yu, Maihao",56W6279L,2019-03-18 02:48:31,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Health and character declaration,FALSE,TRUE
"Martinez, Giovanni",26U6488Z,2019-03-07 05:50:12,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,CPD,TRUE,FALSE
"Watkins, Haylie",89Q6940X,2019-09-18 13:19:34,TRUE,Midwife outside the UK,Yes,Ill health,Nurse,Practice hours,FALSE,FALSE
"Townsend, Helen",24H6426S,2019-08-08 18:14:44,FALSE,Nurse outside the UK,Yes,Deceased,Nurse,Health and character declaration,TRUE,TRUE
"Buist Jr, Katrina",70R8976F,2019-12-19 14:14:50,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Confirmation,TRUE,TRUE
"Sells, Tracie",69M9954N,2019-12-15 16:05:24,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Tafoya, Samantha",05F7561H,2019-04-21 20:28:09,TRUE,Nurse inside the UK,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Reese, Courtney",76Y2486W,2019-05-29 10:51:32,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Lennert, Anupama",73R5393Z,2019-11-12 03:15:29,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,TRUE
"Skaggs, Shaye",88P6265O,2019-07-28 20:25:57,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Health and character declaration,FALSE,FALSE
"Tate, Amber",62Y2779I,2019-01-05 02:48:40,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,TRUE,FALSE
"Rincones, Joseph",92M7090V,2019-09-22 20:35:09,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,FALSE
"Lucero, Nizhoni",40L8819D,2019-02-26 13:23:49,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"el-Yousif, Saafiyya",29U0225D,2019-06-04 15:46:51,FALSE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Maestas, Danielle",21N9224Z,2019-07-04 09:52:44,TRUE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Confirmation,FALSE,TRUE
"Vaile, Christian",02T3899X,2019-01-10 10:08:41,FALSE,Nurse outside the UK,No,Retirement,Midwife,Confirmation,FALSE,TRUE
"Young, Noe",81J8717U,2019-08-06 19:21:57,FALSE,Nurse inside the UK,No,Deceased,Nurse,Health and character declaration,FALSE,FALSE
"Dobrzenski, Eva-Lou",93Z0210N,2019-11-05 14:00:48,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,TRUE
"Williams, Troy",44I0728I,2019-07-02 13:34:28,TRUE,Nurse outside the UK,No,Ill health,Midwife,Written reflective accounts,FALSE,FALSE
"Vandenberghe, Jared",82Q7460Z,2019-02-25 02:48:42,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,TRUE
"el-Nasser, Safar",40E5893V,2019-09-14 20:57:10,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Polk, Dazhean",88T3381R,2019-09-30 20:18:33,TRUE,Midwife outside the UK,No,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"al-Minhas, Jawaad",51G8470M,2019-02-05 09:37:07,TRUE,Midwife outside the UK,Yes,Retirement,Nurse,Confirmation,TRUE,TRUE
"Haun, Kellie",73H0804T,2019-09-04 14:01:21,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Practice-related feedback,FALSE,TRUE
"Mendoza, Gerardo",85O6169M,2019-04-19 13:55:05,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Confirmation,FALSE,FALSE
