name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Sebben, Beau",77Z1463H,2019-07-13 20:41:22,Member fo the public,Reason1,allegationtype1,Information from employer
"Olivos, Arcelia",13D7696R,2019-09-02 00:09:09,Member fo the public,Reason1,allegationtype1,
"Batra, Kyle",96C5457J,2019-06-13 19:19:05,Employer,Reason2,allegationtype2,Information from employer
"Frazier, Joseph",69I3324Y,2019-06-30 15:36:32,Employer,Reason1,allegationtype1,Information from employer
"Sonnier-Freelon, Boris",92T2275U,2019-10-27 04:39:28,Member fo the public,Reason2,allegationtype2,
"al-Sadiq, Safar",27G5159W,2019-09-03 03:52:09,Member fo the public,Reason2,allegationtype1,
"Huerena Lucero, Miguel",90T9556Y,2019-12-27 11:29:35,Employer,Reason1,allegationtype2,Information from employer
"Mills, Monte Carlo",17Z3989V,2019-12-27 04:06:14,Member fo the public,Reason1,allegationtype2,
"Jones Potts, Precious",78C5569H,2019-08-25 10:13:11,Employer,Reason1,allegationtype1,
"Deleon, Breauna",45N8151V,2019-06-19 01:15:32,Employer,Reason2,allegationtype1,
"al-Aydin, Jameela",82M6924Y,2019-04-10 01:51:19,Member fo the public,Reason2,allegationtype1,
"Cornelius, Emiko",07I6730A,2019-12-21 10:57:06,Member fo the public,Reason2,allegationtype2,Information from employer
"Bennett, Stephen",93T7282A,2019-10-13 20:14:12,Employer,Reason1,allegationtype2,Information from employer
"Jones, Yael",55P1835X,2019-07-10 10:40:15,Member fo the public,Reason2,allegationtype2,Information from employer
"Cook, Daniel",16U5374Y,2019-02-11 01:10:15,Member fo the public,Reason2,allegationtype1,Information from employer
"Jackson, Davashunique",01S2126L,2019-04-10 19:43:05,Employer,Reason2,allegationtype1,Information from employer
"el-Azzi, Abbaad",54T2752X,2019-02-14 14:10:46,Member fo the public,Reason2,allegationtype1,
"Jones, Charles",49L6121V,2019-09-21 06:28:11,Member fo the public,Reason2,allegationtype2,Information from employer
"Pope, Donato",79P5306V,2019-07-29 16:43:49,Employer,Reason1,allegationtype1,
"Lewis, Cainan",59L1663Z,2019-09-07 16:12:38,Employer,Reason1,allegationtype1,
"Vennen, Isabella",77V9801K,2019-04-25 14:27:32,Employer,Reason1,allegationtype1,Information from employer
"Bivings, Benjamin",68V8583S,2019-11-22 20:10:38,Employer,Reason2,allegationtype1,Information from employer
"Ellis, Alexa",28E1867K,2019-03-29 00:30:50,Employer,Reason2,allegationtype2,
"el-Afzal, Taariq",24K4917R,2019-08-17 17:46:19,Member fo the public,Reason1,allegationtype1,
"el-Ahmad, Ya'qoob",78I7940P,2019-05-06 02:22:22,Member fo the public,Reason1,allegationtype1,Information from employer
"Juarez, Grae",26T4255L,2019-01-02 21:06:03,Employer,Reason1,allegationtype2,
"Mortensen, Eugene",72I2416T,2019-07-22 15:58:26,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Amen, Shaheed",82W3355G,2019-06-12 12:14:52,Employer,Reason1,allegationtype2,
"al-Tawil, Safwa",81F1517X,2019-03-11 18:09:03,Employer,Reason1,allegationtype1,Information from employer
"Shoeboot-Oliver, Alexander",63R7646V,2019-10-29 19:58:59,Employer,Reason2,allegationtype1,Information from employer
"Salazar, Victoria",30P5019F,2019-01-09 14:26:54,Employer,Reason2,allegationtype2,
"al-Wahab, Huda",91W3077M,2019-06-28 06:04:00,Employer,Reason2,allegationtype1,Information from employer
"Janis, Andrew",30V8487B,2019-02-21 13:24:07,Employer,Reason2,allegationtype2,Information from employer
"Martinez, Ryanna",08X8240F,2019-05-06 04:36:54,Member fo the public,Reason1,allegationtype1,Information from employer
"Smith, Gena",09C8328F,2019-12-25 00:25:06,Member fo the public,Reason2,allegationtype2,
"al-Salek, Annnees",33B8962V,2019-04-23 09:14:48,Employer,Reason1,allegationtype1,Information from employer
"al-Can, Sadi",50X5460X,2019-06-08 02:10:06,Employer,Reason1,allegationtype2,Information from employer
"Lawrence, Nikoma",99Q6553V,2019-03-21 17:05:28,Employer,Reason2,allegationtype1,
"Yu, Jenna",43W1885L,2019-02-04 12:46:37,Employer,Reason1,allegationtype1,Information from employer
"el-Hadi, Shaakir",27N4927E,2019-10-05 17:00:37,Employer,Reason1,allegationtype1,Information from employer
"el-Demian, Waajida",12W8334Z,2019-11-24 07:06:30,Member fo the public,Reason2,allegationtype2,
"Thompson, Travis",25H4469X,2019-12-05 05:59:33,Employer,Reason2,allegationtype1,Information from employer
"al-El-Sayed, Haaniya",54T2752X,2019-08-28 11:35:54,Employer,Reason1,allegationtype1,
"el-Quadri, Mastoor",79U1155I,2019-11-29 10:09:40,Employer,Reason1,allegationtype2,
"Kim, Ralph Patrick",85Y8164J,2019-01-07 20:02:44,Employer,Reason1,allegationtype1,Information from employer
"Castaneda, Prisila",19L1028U,2019-11-28 18:51:09,Employer,Reason1,allegationtype2,Information from employer
"Smith, Meseret",82H2583Y,2019-08-14 04:15:45,Member fo the public,Reason2,allegationtype1,
"Finley, James",39X7713Y,2019-02-17 10:45:45,Employer,Reason1,allegationtype1,Information from employer
"Cone, Ander",12S1218V,2019-09-01 05:29:23,Member fo the public,Reason2,allegationtype2,Information from employer
"Coppage, Alejandra",76V9611S,2019-12-20 11:54:50,Member fo the public,Reason2,allegationtype2,Information from employer
"Estrada, Randy",05J0193W,2019-06-07 09:12:29,Employer,Reason2,allegationtype2,
"Lythgoe, Elijah",06Y4465W,2019-09-27 09:08:35,Employer,Reason1,allegationtype2,Information from employer
"el-Abood, Kaatima",72I9237C,2019-11-03 15:41:26,Employer,Reason2,allegationtype1,Information from employer
"Waterman, Danielle",25S9992E,2019-03-19 21:05:29,Member fo the public,Reason1,allegationtype1,Information from employer
"Fejeran, Lily'Okalani",64O6191W,2019-07-05 02:41:43,Employer,Reason2,allegationtype1,
"Bagneris, Marissa",94J7583W,2019-09-23 18:40:36,Member fo the public,Reason1,allegationtype2,Information from employer
"Espinoza, Tamara",29F7233X,2019-02-20 20:10:58,Employer,Reason1,allegationtype2,Information from employer
"Phoenix, Toure",98U8630H,2019-03-17 23:50:09,Employer,Reason2,allegationtype2,
"Nelson, Johnny",24A0071F,2019-04-05 15:52:39,Member fo the public,Reason2,allegationtype1,Information from employer
"Matau, Moriah",35F9363C,2019-12-29 10:43:10,Employer,Reason1,allegationtype2,Information from employer
"Hammond, William",88K9954S,2019-06-22 01:14:04,Member fo the public,Reason1,allegationtype2,
"Truong, Lari",15B7069Z,2019-12-01 22:42:39,Member fo the public,Reason2,allegationtype2,
"Rinder, Stephanie",19D6989H,2019-01-28 21:16:04,Employer,Reason2,allegationtype1,Information from employer
"el-Sani, Saabir",15D8620X,2019-09-04 18:00:46,Employer,Reason1,allegationtype1,Information from employer
"el-Afzal, Taariq",57W6824C,2019-07-21 22:14:23,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Ebrahimi, Rabdaa",20V7518V,2019-01-30 15:00:57,Employer,Reason1,allegationtype2,Information from employer
"Siller, Mario",26W0620V,2019-01-24 22:03:38,Employer,Reason1,allegationtype1,
"al-Ameen, Naseera",72L3089G,2019-11-12 14:02:04,Member fo the public,Reason2,allegationtype1,
"Kailasam, Sana",22U0763E,2019-08-31 15:56:12,Member fo the public,Reason2,allegationtype1,
"al-Salek, Annnees",09G0168L,2019-12-27 11:29:35,Employer,Reason2,allegationtype2,
"Malcom, Katherine",41G3530Q,2019-05-07 06:32:15,Member fo the public,Reason2,allegationtype2,Information from employer
"Negron, Stephanie",58Z5580D,2019-09-23 10:28:09,Member fo the public,Reason2,allegationtype2,Information from employer
"Stewart, Jharrimarshae",16H7350F,2019-04-26 21:00:02,Employer,Reason2,allegationtype1,Information from employer
"Robertson, Nico",28P9561W,2019-12-14 16:43:05,Employer,Reason2,allegationtype1,
"al-Dawood, Najiyya",60C1480A,2019-09-03 22:48:21,Employer,Reason2,allegationtype2,
"Hickman, Yael",44X5538Z,2019-02-22 09:58:09,Member fo the public,Reason2,allegationtype1,
"Bernabe, Bhavdeep",59L4328E,2019-05-02 17:03:11,Employer,Reason2,allegationtype2,
"Dominguez Olivas, Karen",86Q3144G,2019-10-24 21:08:12,Member fo the public,Reason1,allegationtype2,Information from employer
"Bemnet, Quinton",31A4586Y,2019-01-08 15:51:48,Member fo the public,Reason2,allegationtype1,
"Gamez, Nicolas",99C8529A,2019-06-29 18:15:28,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Muhammad, Saalim",66M0421W,2019-09-18 20:22:26,Employer,Reason2,allegationtype1,Information from employer
"Matlock, Hanna",23L1573F,2019-07-17 11:21:02,Member fo the public,Reason1,allegationtype1,
"Futch, Aaron",28W9189P,2019-10-03 02:58:07,Employer,Reason1,allegationtype2,
"Yankana, Elizabeth",49G7674B,2019-06-11 06:55:23,Member fo the public,Reason2,allegationtype1,Information from employer
"Johnson, Eric",18K5227U,2019-07-08 05:26:13,Employer,Reason2,allegationtype1,Information from employer
"el-Sani, Hazm",70W3633I,2019-08-24 01:56:53,Employer,Reason2,allegationtype1,
"al-Ameen, Naseera",97A0794C,2019-12-18 07:31:40,Employer,Reason2,allegationtype2,Information from employer
"Portillo, Luis",19V5392T,2019-05-09 00:38:04,Employer,Reason1,allegationtype1,
"Camacho, Julian",80O7927J,2019-05-26 19:20:02,Employer,Reason2,allegationtype1,Information from employer
"Foster, Aubrey",15P8995T,2019-01-21 16:09:51,Member fo the public,Reason1,allegationtype1,
"al-Samad, Wafaaa",14F4955C,2019-08-12 01:40:34,Employer,Reason1,allegationtype1,
"Asmerom, Bernard",66A5532U,2019-08-01 22:25:58,Member fo the public,Reason2,allegationtype1,Information from employer
"Whyte, Mikal",85K8265A,2019-10-31 22:13:04,Employer,Reason2,allegationtype2,
"Coppage, Alejandra",74S2980C,2019-09-03 22:48:21,Member fo the public,Reason1,allegationtype1,Information from employer
"Brening, Drew",63K4642R,2019-06-24 19:02:48,Employer,Reason2,allegationtype1,
"Clift, Brannon",78C2377D,2019-08-17 12:13:35,Member fo the public,Reason1,allegationtype1,Information from employer
"Thompson, Nico",83I3583L,2019-03-03 19:01:59,Employer,Reason1,allegationtype2,Information from employer
"Medina, Jose",81F1517X,2019-08-16 15:05:40,Employer,Reason1,allegationtype2,
"Schell, Lance",42U9213V,2019-03-29 14:49:23,Employer,Reason1,allegationtype1,Information from employer
"Chavez, Dora",24K4917R,2019-12-08 16:19:45,Employer,Reason2,allegationtype1,
"Carpenter, Elise",64V7664A,2019-02-16 06:17:53,Member fo the public,Reason2,allegationtype1,
"Jumpe, Brittany",55J1685X,2019-11-26 19:38:47,Employer,Reason2,allegationtype1,
"Barnes, Jordan",44Z8322Y,2019-10-27 04:39:28,Member fo the public,Reason2,allegationtype2,
"Gonzalez, Caylan",12R7150Y,2019-12-23 22:13:38,Member fo the public,Reason2,allegationtype1,Information from employer
"Arciniega-Valdez, Nathan",78H9897I,2019-04-09 21:19:00,Employer,Reason1,allegationtype1,
"Hollier, Alexis",98N2563C,2019-11-24 12:16:16,Employer,Reason2,allegationtype1,
"Booker, Amon",74M9370V,2019-11-11 13:40:27,Employer,Reason1,allegationtype1,
"Luna, Phillip",89J5530H,2019-11-18 03:18:25,Employer,Reason1,allegationtype1,
"Begaye, Kirsten",32C1486S,2019-11-13 04:38:28,Member fo the public,Reason2,allegationtype1,
"Harper, Sara",14C3845W,2019-10-15 15:10:56,Member fo the public,Reason1,allegationtype1,
"Johnson, Quiyavae",65A6155J,2019-09-08 15:00:33,Member fo the public,Reason2,allegationtype2,
"Leavitt, Stephen",01E2513G,2019-03-31 21:49:29,Employer,Reason2,allegationtype1,
"Sassman, Jeremiah",84Y0600P,2019-06-30 03:06:33,Employer,Reason1,allegationtype2,
"Fox, Dominic",03L4266D,2019-05-09 11:27:24,Member fo the public,Reason2,allegationtype2,Information from employer
"Biggs, Maria",74E2614B,2019-11-02 14:20:35,Employer,Reason2,allegationtype1,
"Tran, Jenny",82P3482F,2019-09-26 13:28:29,Member fo the public,Reason1,allegationtype2,
"Son, Christopher",99G0043R,2019-10-09 20:14:44,Member fo the public,Reason1,allegationtype1,
"Solberg, Andrew",27Z4890E,2019-12-20 18:57:29,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Greiss, Haajid",05L1134L,2019-02-19 13:28:31,Employer,Reason2,allegationtype2,Information from employer
"al-Rashid, Rifat",05G2618I,2019-01-11 23:30:37,Employer,Reason2,allegationtype1,
"Bolen, Justine",69B2152J,2019-03-03 23:08:10,Employer,Reason2,allegationtype2,
"Perkins, Kai-Ndamba",20V7857W,2019-11-04 06:07:22,Member fo the public,Reason2,allegationtype1,
"Quiban, Cole",81K9238G,2019-04-05 17:30:20,Employer,Reason1,allegationtype1,Information from employer
"Mendoza, Isabel",03T5959V,2019-12-06 05:02:00,Member fo the public,Reason1,allegationtype2,
"Martin, John",59F2804F,2019-04-09 17:23:02,Member fo the public,Reason2,allegationtype2,
"Bonthron, Brandon",06J5349C,2019-08-11 08:43:20,Member fo the public,Reason1,allegationtype2,
"Lee, Hannah",81E6971X,2019-02-12 00:17:15,Member fo the public,Reason1,allegationtype2,Information from employer
"Muniz, Melody",69N1077J,2019-12-24 18:32:05,Employer,Reason1,allegationtype1,
"Cramer, James",87G9770A,2019-09-22 12:57:10,Member fo the public,Reason1,allegationtype2,
"Smith, Rachel",84W8856G,2019-10-20 03:01:53,Member fo the public,Reason1,allegationtype2,
"Cordova, Jordan",59S7335P,2019-11-28 00:57:48,Member fo the public,Reason1,allegationtype1,
"Dequiroz, Sydney",87I1619B,2019-12-21 18:48:13,Member fo the public,Reason2,allegationtype2,
"Nghiem, Andrew",01E4699H,2019-12-09 00:32:30,Employer,Reason2,allegationtype1,Information from employer
"Fowler, Steven",86L0852L,2019-09-20 01:00:00,Member fo the public,Reason2,allegationtype1,
"Yan, Jimmy",77Z0621N,2019-05-19 01:45:11,Member fo the public,Reason2,allegationtype2,Information from employer
"Earnest, Braedon",89B6877O,2019-05-09 11:27:24,Member fo the public,Reason1,allegationtype1,Information from employer
"Mandujano, Sebastian",48D6333C,2019-07-28 22:14:29,Member fo the public,Reason2,allegationtype2,
"Seyffer, Mary",12F7184R,2019-09-18 12:30:26,Member fo the public,Reason1,allegationtype1,
"Kimura, Tianna",51M9743B,2019-01-11 14:03:19,Member fo the public,Reason1,allegationtype2,Information from employer
"Martinez, Ashley",28B6653R,2019-08-12 09:12:17,Employer,Reason1,allegationtype1,
"Post, Jordan",09C8088Z,2019-04-05 17:30:20,Employer,Reason1,allegationtype1,
"Ward, William",11R0228L,2019-12-30 08:07:34,Member fo the public,Reason2,allegationtype2,Information from employer
"Blake, Hayden",84N5101V,2019-10-20 03:26:43,Member fo the public,Reason1,allegationtype1,Information from employer
"Madden, Kayla",30W7434N,2019-09-27 09:08:35,Employer,Reason2,allegationtype1,Information from employer
"el-Samad, Muzammil",08A5240V,2019-02-14 13:57:14,Employer,Reason1,allegationtype2,Information from employer
"Bergen, Justin",93J1192O,2019-02-15 14:09:58,Member fo the public,Reason2,allegationtype1,
"Park, Ariadne",26T5245S,2019-11-13 03:36:59,Member fo the public,Reason2,allegationtype2,Information from employer
"Largo, Trevor",04T0787T,2019-12-25 06:48:46,Employer,Reason2,allegationtype2,Information from employer
"Graves, Brian",54M6114X,2019-03-18 01:58:33,Employer,Reason1,allegationtype1,Information from employer
"Chavez, Victoria",96E9100N,2019-06-22 04:35:51,Employer,Reason2,allegationtype1,
"Jackson, Connor",52O2891B,2019-07-02 21:55:50,Member fo the public,Reason1,allegationtype1,
"el-Masih, Muthanna",85A9952D,2019-03-15 11:19:58,Member fo the public,Reason2,allegationtype1,
"Gonzalez, Jose",40E8350J,2019-03-03 18:06:15,Employer,Reason1,allegationtype1,
"Nelson, Johnny",71Y0472P,2019-11-29 11:04:52,Employer,Reason1,allegationtype2,
"Riddle, Brooklyn",70U6417W,2019-04-22 00:33:32,Employer,Reason1,allegationtype1,Information from employer
"Urrutia, Roberto",51D1806P,2019-01-19 11:03:01,Member fo the public,Reason1,allegationtype1,Information from employer
"Warren, Kara",06Q3754Y,2019-03-03 22:44:22,Member fo the public,Reason2,allegationtype2,
"Wenum, Chase",20V0145Q,2019-01-01 01:10:23,Member fo the public,Reason2,allegationtype1,
"Madden, Kayla",35Y5812M,2019-03-31 22:47:56,Member fo the public,Reason2,allegationtype1,
"Copeland, Jalen",71X9802P,2019-05-25 15:57:16,Employer,Reason1,allegationtype1,Information from employer
"Hunter, Kendra",60A4955N,2019-07-27 17:21:35,Employer,Reason1,allegationtype2,Information from employer
"el-Uddin, Murshid",37E5589K,2019-08-12 15:58:30,Member fo the public,Reason1,allegationtype2,Information from employer
"Kramer, Katelin",70G6864V,2019-03-22 17:23:18,Member fo the public,Reason1,allegationtype1,
"Cardoza, Timothy",42J1546A,2019-10-01 15:07:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Lyles, Ruth",20A4362N,2019-12-15 03:23:20,Employer,Reason1,allegationtype2,
"Cosby, Remon",18Q1595B,2019-05-14 05:07:51,Employer,Reason2,allegationtype1,
"Nava, Oliver",75B0822E,2019-08-05 02:23:24,Employer,Reason2,allegationtype1,
"el-Kazemi, Muzna",12R5461H,2019-10-26 04:36:11,Employer,Reason2,allegationtype1,Information from employer
"Moye, Devon",08A3575G,2019-07-28 19:05:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Bindejo, Aparna",77W1850Y,2019-02-25 15:44:26,Employer,Reason2,allegationtype1,Information from employer
"Perales, Meselino",17R1074O,2019-04-02 07:39:48,Member fo the public,Reason2,allegationtype1,
"Brasfield, Paris",60L9065H,2019-02-11 14:29:56,Member fo the public,Reason1,allegationtype1,Information from employer
"Scarberry, Lance",90O0459U,2019-02-15 14:09:58,Member fo the public,Reason2,allegationtype1,
"el-Mahmud, Naseeba",34G3508R,2019-03-26 07:55:38,Member fo the public,Reason1,allegationtype2,Information from employer
"Monnet, Alleah",07X9891J,2019-09-26 17:41:30,Member fo the public,Reason2,allegationtype1,
"Arrington, Jajira",53U5511T,2019-01-24 18:39:29,Member fo the public,Reason2,allegationtype2,Information from employer
"Farr, Amy",90W4253Z,2019-07-26 23:07:45,Employer,Reason1,allegationtype1,
"Baker, Brooke",93C6196Y,2019-09-27 12:57:14,Member fo the public,Reason1,allegationtype2,Information from employer
"Li-Aponte, Michael",54K8266E,2019-03-04 00:45:09,Member fo the public,Reason1,allegationtype1,
"al-Tabet, Sahheeda",32E5071S,2019-03-18 01:22:08,Employer,Reason1,allegationtype1,Information from employer
"Bentley, John",98D4286V,2019-07-10 22:23:26,Employer,Reason1,allegationtype2,Information from employer
"al-Taheri, Faalih",33V2283B,2019-06-17 05:00:55,Employer,Reason1,allegationtype2,Information from employer
"Johnson, Caemeille",29P6801Y,2019-02-22 23:06:04,Member fo the public,Reason2,allegationtype1,
"Clark, Allan",91Z4080B,2019-12-19 11:34:36,Member fo the public,Reason1,allegationtype2,
"Kumar, Monina",53S3455G,2019-06-24 08:46:40,Member fo the public,Reason1,allegationtype1,
"Biggs, Maria",83Q7266C,2019-11-08 03:38:43,Employer,Reason1,allegationtype2,
"el-Nasrallah, Zakiyya",44X5538Z,2019-04-28 21:44:05,Member fo the public,Reason1,allegationtype2,Information from employer
"Reese, Erin",43P1474A,2019-11-14 20:42:16,Employer,Reason1,allegationtype1,
"Laulu, Goretti",50R4759U,2019-08-08 17:51:52,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Khalil, Kawkab",13B4949N,2019-04-01 14:10:40,Member fo the public,Reason1,allegationtype1,
"Corona Ibarra, Dominic",26X5788M,2019-04-07 18:44:14,Member fo the public,Reason1,allegationtype1,
"Folarin, Brandi",93J5683O,2019-02-04 20:14:23,Member fo the public,Reason1,allegationtype1,
"Flynn, Emma",29W5870O,2019-04-19 06:21:58,Employer,Reason2,allegationtype2,Information from employer
"Steege, Jessica",37D4945R,2019-04-01 20:46:43,Employer,Reason2,allegationtype1,Information from employer
"Hazlehurst, Cassandra",38O1394Y,2019-03-12 03:30:24,Member fo the public,Reason1,allegationtype1,Information from employer
"Crook, James",29Y2244J,2019-03-30 06:53:20,Employer,Reason2,allegationtype1,Information from employer
"Esparza, Nathan",07P4490L,2019-08-27 07:40:59,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Yamin, Ghaada",85C9043J,2019-06-15 10:21:14,Member fo the public,Reason2,allegationtype2,
"Febvre, Ashley",14R9768K,2019-11-24 01:49:58,Employer,Reason1,allegationtype1,Information from employer
"Topper, Zachery",86C9999T,2019-05-22 17:46:18,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Hossain, Taajuddeen",57B5068F,2019-10-31 00:28:14,Member fo the public,Reason2,allegationtype2,Information from employer
"Wienski, Dillon",87U5060J,2019-08-26 22:01:11,Member fo the public,Reason2,allegationtype1,
"Gonzalez, Caylan",79X2969S,2019-03-28 06:58:12,Employer,Reason1,allegationtype1,
"Baca, Jesus",84V4630O,2019-12-26 23:22:28,Employer,Reason2,allegationtype2,
"al-Hashim, Raashid",18P4013O,2019-11-29 13:01:02,Employer,Reason2,allegationtype2,
"Dougherty, Jordan",11N4841D,2019-05-02 12:16:38,Employer,Reason1,allegationtype1,
"Williams, Tyler",03B4076W,2019-07-30 23:10:37,Member fo the public,Reason2,allegationtype1,
"Floyd, Breanna",08B1506S,2019-09-10 22:55:41,Member fo the public,Reason1,allegationtype1,
"al-Sadek, Haaroon",28S9357N,2019-09-04 17:46:52,Employer,Reason2,allegationtype2,
"Cheung, Son",26U6488Z,2019-10-17 12:28:34,Employer,Reason1,allegationtype2,
"Harney, Shanay",12K3141A,2019-08-31 05:23:32,Member fo the public,Reason2,allegationtype2,Information from employer
"Castillo, Amairani",39N2937P,2019-08-16 14:37:53,Member fo the public,Reason1,allegationtype1,
"Kim, Leina",75W3935R,2019-01-29 03:26:18,Employer,Reason2,allegationtype2,Information from employer
"Montoya, Michael",78O0557Y,2019-09-30 22:54:29,Member fo the public,Reason2,allegationtype1,
"Tedros, Shanice",67K7147H,2019-07-07 01:05:39,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Greiss, Shaamila",08T7737N,2019-01-15 07:02:07,Employer,Reason2,allegationtype1,Information from employer
"Traylor, Desiree",31C1024O,2019-08-05 20:14:21,Member fo the public,Reason2,allegationtype1,Information from employer
"Mcgrew-Springs, Cimarron",52G4495G,2019-10-12 04:58:45,Member fo the public,Reason2,allegationtype1,
"al-Ahmadi, Nazmi",08L4751B,2019-07-27 21:40:37,Member fo the public,Reason1,allegationtype1,Information from employer
"Hiromasa, Courtney",67H3892I,2019-11-05 01:19:12,Employer,Reason1,allegationtype1,Information from employer
"Toberman, Lucas",96F7637T,2019-09-02 23:39:38,Member fo the public,Reason2,allegationtype1,Information from employer
"Gray, David",34S4232O,2019-05-27 18:13:15,Employer,Reason1,allegationtype1,Information from employer
"el-Mohammed, Shaqeeq",19F6374H,2019-02-23 00:16:57,Member fo the public,Reason2,allegationtype2,
"Bennett, Anyce",09Q2346F,2019-02-14 18:08:18,Member fo the public,Reason1,allegationtype1,Information from employer
"Williams, Jayde",87G9770A,2019-10-02 22:40:46,Employer,Reason1,allegationtype2,
"Malcom, Katherine",02N2915H,2019-01-05 20:08:11,Member fo the public,Reason1,allegationtype1,Information from employer
"Romero, Clint",59O6098O,2019-05-23 10:02:55,Employer,Reason1,allegationtype2,Information from employer
"Yanito, Erin",64M5024Q,2019-02-21 01:22:55,Employer,Reason2,allegationtype2,
"Cooper, Daniel",47F2277Z,2019-02-19 06:03:12,Member fo the public,Reason2,allegationtype2,
"el-Salama, Rifaah",42S1375X,2019-01-31 23:46:05,Employer,Reason2,allegationtype2,
"Peck, Leandra",82P0414P,2019-03-26 16:29:41,Member fo the public,Reason2,allegationtype2,
"Ebat, Steven",40J8057M,2019-02-15 15:06:48,Member fo the public,Reason2,allegationtype1,
"Domingues, Kye",62W0040Z,2019-10-17 04:19:46,Member fo the public,Reason1,allegationtype2,
"Chacon, Michaila",59I1395Y,2019-03-09 19:59:30,Employer,Reason2,allegationtype1,
"Leamons, Nicholas",05K1229V,2019-03-15 06:34:13,Employer,Reason2,allegationtype1,Information from employer
"Lynn, Megan",36S4075O,2019-05-02 22:10:44,Employer,Reason1,allegationtype2,
"Hamilton, Natasha",14E9693H,2019-05-25 22:30:07,Employer,Reason2,allegationtype1,
"Hall, Jesse",25Y9262K,2019-09-11 14:07:10,Member fo the public,Reason2,allegationtype1,
"Lambert, Brianna",80Q9530C,2019-05-29 05:38:09,Member fo the public,Reason2,allegationtype1,
"Rivera, Damaris",70U7404W,2019-10-19 13:10:56,Member fo the public,Reason1,allegationtype2,Information from employer
"Milburn, Daniel",49A2041K,2019-11-26 22:20:30,Member fo the public,Reason1,allegationtype2,
"Morett, Elizabeth",73R5393Z,2019-06-15 08:46:40,Member fo the public,Reason2,allegationtype2,Information from employer
"Gregg, Tyrelle",99D0201S,2019-04-07 08:18:40,Member fo the public,Reason2,allegationtype2,Information from employer
"Vigil, Mauricio",81V2906Y,2019-01-13 11:00:44,Member fo the public,Reason2,allegationtype2,
"Bradshaw, Amy",51M9743B,2019-01-24 07:19:26,Employer,Reason2,allegationtype2,
"Cardoza, Timothy",12T2306K,2019-10-29 13:06:13,Employer,Reason2,allegationtype2,
"el-Bagheri, Marjaana",85Y6019I,2019-05-04 21:50:11,Employer,Reason2,allegationtype1,
"Ugalde, Luis",78X7129H,2019-07-01 18:03:49,Member fo the public,Reason2,allegationtype2,Information from employer
"Embury, Tristan",65P6247T,2019-10-08 22:10:10,Employer,Reason2,allegationtype1,
"el-Aly, Hamdi",81E6410Q,2019-05-03 21:52:04,Member fo the public,Reason1,allegationtype1,
"Merryman, Jessica",08Z1302V,2019-04-24 07:33:20,Employer,Reason1,allegationtype2,Information from employer
"Piazza, Keith",52J7974W,2019-03-12 05:56:54,Employer,Reason1,allegationtype2,Information from employer
"Mueller, William",51L9938M,2019-06-22 03:46:56,Member fo the public,Reason1,allegationtype1,Information from employer
"Singh, Makamaehokuliiokalani",35K6268H,2019-05-04 08:41:42,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Saladin, Amaani",13T0560A,2019-12-19 11:34:36,Employer,Reason1,allegationtype1,Information from employer
"Trojahn, Junbian",70B1313G,2019-03-20 06:12:58,Employer,Reason1,allegationtype2,
"el-Demian, Tulaiha",95S1765Z,2019-03-05 05:15:58,Employer,Reason1,allegationtype2,Information from employer
"el-Zaidi, Muthanna",49W6473A,2019-01-12 18:52:30,Member fo the public,Reason1,allegationtype2,Information from employer
"Kuck, Harry",72H2115U,2019-11-07 06:07:43,Member fo the public,Reason2,allegationtype2,Information from employer
"Oh, Ronald",78V2913W,2019-01-03 10:11:56,Member fo the public,Reason1,allegationtype1,
"Duran, Cassandra",96N5363X,2019-12-24 00:28:46,Member fo the public,Reason2,allegationtype1,
"Cabral, Jordan",05C5621W,2019-05-27 11:12:28,Employer,Reason2,allegationtype1,
"Nguyen, Michael",60H1905B,2019-02-17 13:49:48,Member fo the public,Reason2,allegationtype1,
"Morris, Seline",09N5008I,2019-07-04 10:41:01,Member fo the public,Reason2,allegationtype2,Information from employer
"Steege, Jessica",33I0707D,2019-11-08 05:46:26,Employer,Reason2,allegationtype2,
"Abeyta, Yazmin",20I3127V,2019-07-02 14:35:33,Member fo the public,Reason1,allegationtype1,
"al-Minhas, Jawaad",70U6417W,2019-02-06 10:23:30,Employer,Reason2,allegationtype2,Information from employer
"Holmes, Colten",78B5000P,2019-03-12 03:30:24,Member fo the public,Reason1,allegationtype2,
"al-Azer, Taqi",58M6900R,2019-01-01 01:10:23,Employer,Reason1,allegationtype2,Information from employer
"Boggs, James",41W8967K,2019-02-25 08:34:51,Employer,Reason1,allegationtype1,
